class,total,correct,acc_pct
A,30,0,0.00
B,30,0,0.00
C,30,2,6.67
D,30,5,16.67
E,30,1,3.33
F,30,3,10.00
G,30,12,40.00
H,30,19,63.33
I,30,4,13.33
J,30,19,63.33
K,30,2,6.67
L,30,16,53.33
M,30,3,10.00
N,30,2,6.67
O,30,1,3.33
P,30,20,66.67
Q,30,10,33.33
R,30,4,13.33
S,30,0,0.00
T,30,0,0.00
U,30,4,13.33
V,30,0,0.00
W,30,0,0.00
X,30,0,0.00
Y,30,5,16.67
Z,30,4,13.33
TOTAL,780,136,17.44
