class,total,correct,acc_pct
A,30,0,0.00
B,30,0,0.00
C,30,1,3.33
D,30,4,13.33
E,30,0,0.00
F,30,2,6.67
G,30,5,16.67
H,30,15,50.00
I,30,0,0.00
J,30,14,46.67
K,30,1,3.33
L,30,5,16.67
M,30,5,16.67
N,30,0,0.00
O,30,0,0.00
P,30,19,63.33
Q,30,11,36.67
R,30,2,6.67
S,30,0,0.00
T,30,0,0.00
U,30,3,10.00
V,30,0,0.00
W,30,0,0.00
X,30,0,0.00
Y,30,5,16.67
Z,30,10,33.33
TOTAL,780,102,13.08
