class,total,correct,acc_pct
A,30,0,0.00
B,30,1,3.33
C,30,2,6.67
D,30,6,20.00
E,30,0,0.00
F,30,3,10.00
G,30,9,30.00
H,30,16,53.33
I,30,8,26.67
J,30,14,46.67
K,30,1,3.33
L,30,11,36.67
M,30,4,13.33
N,30,0,0.00
O,30,0,0.00
P,30,16,53.33
Q,30,8,26.67
R,30,4,13.33
S,30,0,0.00
T,30,5,16.67
U,30,4,13.33
V,30,1,3.33
W,30,1,3.33
X,30,1,3.33
Y,30,5,16.67
Z,30,6,20.00
TOTAL,780,126,16.15
