class,total,correct,acc_pct
A,30,0,0.00
B,30,1,3.33
C,30,4,13.33
D,30,4,13.33
E,30,0,0.00
F,30,0,0.00
G,30,4,13.33
H,30,19,63.33
I,30,10,33.33
J,30,12,40.00
K,30,2,6.67
L,30,10,33.33
M,30,3,10.00
N,30,3,10.00
O,30,0,0.00
P,30,20,66.67
Q,30,10,33.33
R,30,4,13.33
S,30,0,0.00
T,30,1,3.33
U,30,6,20.00
V,30,0,0.00
W,30,2,6.67
X,30,0,0.00
Y,30,6,20.00
Z,30,4,13.33
TOTAL,780,125,16.03
