class,total,correct,acc_pct
A,30,0,0.00
B,30,1,3.33
C,30,4,13.33
D,30,5,16.67
E,30,0,0.00
F,30,5,16.67
G,30,7,23.33
H,30,15,50.00
I,30,7,23.33
J,30,13,43.33
K,30,2,6.67
L,30,11,36.67
M,30,3,10.00
N,30,1,3.33
O,30,0,0.00
P,30,20,66.67
Q,30,9,30.00
R,30,2,6.67
S,30,0,0.00
T,30,1,3.33
U,30,4,13.33
V,30,0,0.00
W,30,0,0.00
X,30,0,0.00
Y,30,4,13.33
Z,30,1,3.33
TOTAL,780,115,14.74
