class,total,correct,acc_pct
A,30,0,0.00
B,30,1,3.33
C,30,3,10.00
D,30,2,6.67
E,30,0,0.00
F,30,0,0.00
G,30,6,20.00
H,30,11,36.67
I,30,0,0.00
J,30,7,23.33
K,30,0,0.00
L,30,2,6.67
M,30,0,0.00
N,30,0,0.00
O,30,0,0.00
P,30,0,0.00
Q,30,0,0.00
R,30,0,0.00
S,30,0,0.00
T,30,0,0.00
U,30,0,0.00
V,30,0,0.00
W,30,0,0.00
X,30,0,0.00
Y,30,0,0.00
Z,30,6,20.00
TOTAL,780,38,4.87
